SoPID,SoPText,StandardID,StandardText,DomainID,DomainText,CriterionNodeLabel,StandardNodeLabel,DomainNodeLabel
1.1,Demonstrate an understanding of good scientific practice at consultant clinical scientist level,Standard 1,Practise with the professionalism of a Consultant Clinical Scientist,Domain 1,Professional Practice,1.1: Demonstrate an understanding of good scientific practice at consultant clinical scientist level,Standard 1: Practise with the professionalism of a Consultant Clinical Scientist,Domain 1: Professional Practice
1.2,Comply with the codes of conduct of the Health and Care Professions Council and the Academy for Healthcare Science,Standard 1,Practise with the professionalism of a Consultant Clinical Scientist,Domain 1,Professional Practice,1.2: Comply with the codes of conduct of the Health and Care Professions Council and the Academy for Healthcare Science,Standard 1: Practise with the professionalism of a Consultant Clinical Scientist,Domain 1: Professional Practice
1.3,Ensure that conduct at all times justifies the trust of patients and colleagues and maintains the public’s trust in the scientific profession,Standard 1,Practise with the professionalism of a Consultant Clinical Scientist,Domain 1,Professional Practice,1.3: Ensure that conduct at all times justifies the trust of patients and colleagues and maintains the public’s trust in the scientific profession,Standard 1: Practise with the professionalism of a Consultant Clinical Scientist,Domain 1: Professional Practice
2.1,Lead a team to work effectively with senior colleagues in cross-professional settings and across organisational boundaries,Standard 2,Ensure professionalism in working with peers and with service users,Domain 1,Professional Practice,2.1: Lead a team to work effectively with senior colleagues in cross-professional settings and across organisational boundaries,Standard 2: Ensure professionalism in working with peers and with service users,Domain 1: Professional Practice
2.2,"Lead a team to work in partnership with colleagues and other organisations in the best interest of patients, local communities and the wider population",Standard 2,Ensure professionalism in working with peers and with service users,Domain 1,Professional Practice,"2.2: Lead a team to work in partnership with colleagues and other organisations in the best interest of patients, local communities and the wider population",Standard 2: Ensure professionalism in working with peers and with service users,Domain 1: Professional Practice
2.3,"Create a culture of openness with patients, their families, carers or representatives and colleagues, including if anything goes wrong; welcoming and listening to feedback and addressing concerns promptly",Standard 2,Ensure professionalism in working with peers and with service users,Domain 1,Professional Practice,"2.3: Create a culture of openness with patients, their families, carers or representatives and colleagues, including if anything goes wrong; welcoming and listening to feedback and addressing concerns promptly",Standard 2: Ensure professionalism in working with peers and with service users,Domain 1: Professional Practice
2.4,"Communicate complex clinical scientific and technical information in a wide range of settings and formats, including to patients and the public",Standard 2,Ensure professionalism in working with peers and with service users,Domain 1,Professional Practice,"2.4: Communicate complex clinical scientific and technical information in a wide range of settings and formats, including to patients and the public",Standard 2: Ensure professionalism in working with peers and with service users,Domain 1: Professional Practice
2.5,"Liaise with peers, clinical users of the service, patients and the public on all aspects of service delivery to ensure that the service is fit for purpose",Standard 2,Ensure professionalism in working with peers and with service users,Domain 1,Professional Practice,"2.5: Liaise with peers, clinical users of the service, patients and the public on all aspects of service delivery to ensure that the service is fit for purpose",Standard 2: Ensure professionalism in working with peers and with service users,Domain 1: Professional Practice
2.6,"Communicate research, innovation and development findings as appropriate, including peer reviewed journals and at national and international conferences",Standard 2,Ensure professionalism in working with peers and with service users,Domain 1,Professional Practice,"2.6: Communicate research, innovation and development findings as appropriate, including peer reviewed journals and at national and international conferences",Standard 2: Ensure professionalism in working with peers and with service users,Domain 1: Professional Practice
3.1,Assume overall accountability for ensuring compliance with the governance and risk management requirements for a broad scientific service,Standard 3,Ensure professionalism in areas of governance and service accreditation,Domain 1,Professional Practice,3.1: Assume overall accountability for ensuring compliance with the governance and risk management requirements for a broad scientific service,Standard 3: Ensure professionalism in areas of governance and service accreditation,Domain 1: Professional Practice
